Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
69176529-fd1f-3b3f-abce-a0a3626769eb,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,6174923500,0.0,390
5e765f2b-e908-3888-9fc7-df2cb87beb58,STURDY MEMORIAL HOSPITAL,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,5082225200,0.0,393
f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,01842,42.700273,-71.161357,9786834000,0.0,2127
e002090d-4e92-300e-b41e-7d1f21dee4c6,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,6176652300,0.0,546
ef6ab57c-ed94-3dbe-9861-812d515918b3,CAPE COD HOSPITAL,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,-70.74053599999998,5087711800,0.0,486
fbf6180e-b800-3ebe-b91d-93d0288c400e,BAYSTATE FRANKLIN MEDICAL CENTER,164 HIGH STREET,GREENFIELD,MA,01301,42.614671,-72.597063,4137730211,0.0,392
8b58cdd1-3d79-3126-8fe0-da2c54d6805c,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,6175062000,0.0,87
ecc51621-0af3-3b35-ac3e-8b1e34022e92,SAINT ANNE'S HOSPITAL,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,-71.094162,5086745600,0.0,294
5d4b9df1-93ae-3bc9-b680-03249990e558,HOLYOKE MEDICAL CENTER,575 BEECH STREET,HOLYOKE,MA,01040,42.211656,-72.642448,4135342500,0.0,349
37b4d73f-652d-3033-a16e-d97b9e8b4cda,ANNA JAQUES HOSPITAL,25 HIGHLAND AVENUE,NEWBURYPORT,MA,01950,42.812141,-70.886646,9784631000,0.0,442
08bcda9c-f8c8-3244-82d4-fc306a7a55d3,BOSTON MEDICAL CENTER CORPORATION-,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,02118,42.33196,-71.020173,6176388000,0.0,60
37c0de84-bcaf-3624-82bf-a89b2ac441b8,BEVERLY HOSPITAL CORPORATION,85 HERRICK STREET,BEVERLY,MA,01915,42.556659,-70.84496,9789223000,0.0,584
4861d01f-019c-3dac-a153-8334e50919f9,NORTH SHORE MEDICAL CENTER -,81 HIGHLAND AVENUE,SALEM,MA,01970,42.50128,-70.897502,9787411215,0.0,509
a0b6ec0c-e587-3b2a-bf9f-248849f29ee5,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,02135,42.33196,-71.020173,6177893000,0.0,173
4f3a530e-a2f7-3de0-9a09-c0a70a9ab894,BERKSHIRE MEDICAL CENTER INC - 1,725 NORTH STREET,PITTSFIELD,MA,01201,42.452045,-73.26054,4134472000,0.0,799
f71ce1a9-cca7-3295-9a1e-c88ac3479b6f,MARLBOROUGH HOSPITAL,157 UNION STREET,MARLBOROUGH,MA,01752,42.349617,-71.547214,5084815000,0.0,315
c44f361c-2efb-3050-8f97-0354a12e2920,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,680 CENTER STREET,BROCKTON,MA,02302,42.082543,-71.024638,5089417000,0.0,527
331f4c11-d298-308b-aaa1-d7825b29b57f,CLINTON HOSPITAL ASSOCIATION,201 HIGHLAND STREET,CLINTON,MA,01510,42.411887,-71.690005,9783683000,0.0,209
b1ddf812-1fdd-3adf-b1d5-32cc8bd07ebb,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH,275 SANDWICH STREET,PLYMOUTH,MA,02360,41.897892,-70.62403,5087462000,0.0,29
6be05ccf-ef94-341f-a2a3-1cf9bfde1b18,ADCARE HOSPITAL OF WORCESTER INC,107 LINCOLN STREET,WORCESTER,MA,01605,42.269478,-71.807783,5087999000,0.0,91
fd328395-ab1d-35c6-a2d0-d05a9a79cf11,MERCY MEDICAL CTR,271 CAREW STREET,SPRINGFIELD,MA,01104,42.115454,-72.539978,4137489000,0.0,306
d692e283-0833-3201-8e55-4f868a9c0736,HALLMARK HEALTH SYSTEM,585 LEBANON STREET,MELROSE,MA,02176,42.455723,-71.05901899999998,7819793000,0.0,947
d78e84ec-30aa-3bba-a33a-f29a3a454662,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,02114,42.33196,-71.020173,6177262000,0.0,20
8ad64ecf-c817-3753-bee7-006a8e662e06,MORTON HOSPITAL,88 WASHINGTON STREET,TAUNTON,MA,02780,41.903323,-71.094984,5088287000,0.0,357
23834663-ed53-3da9-b330-d6e1ecb8428e,SOUTHCOAST HOSPITAL GROUP  INC,363 HIGHLAND AVENUE,FALL RIVER,MA,02720,41.725351,-71.094162,5086793131,0.0,154
44bef9d3-91c2-3005-93e0-ccf436348ff0,MASSACHUSETTS EYE AND EAR INFIRMARY -,243 CHARLES STREET,BOSTON,MA,02114,42.33196,-71.020173,6175237900,0.0,258
60457c13-adb2-3415-82c5-86ab5dab5f93,BAYSTATE MEDICAL CENTER,759 CHESTNUT STREET,SPRINGFIELD,MA,01199,42.115454,-72.539978,4137940000,0.0,273
a9f20dc1-5147-3789-bcef-bbecb41c5983,HOLY FAMILY HOSPITAL,70 EAST STREET,METHUEN,MA,01844,42.742751,-71.178588,9786870156,0.0,377
03347b4d-994e-302b-848b-58019a4e274d,EMERSON HOSPITAL -,133 OLD ROAD TO 9 ACRE CORNER,W CONCORD,MA,01742,42.269478,-71.807783,9783691400,0.0,432
cb6a50e0-af76-3758-99ad-3200ede03fff,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,02215,42.33196,-71.020173,6176677000,0.0,13
9a7149fa-49fc-3c87-b935-d29c55808717,NEW ENGLAND BAPTIST HOSPITAL,125 PARKER HILL AVENUE,BOSTON,MA,02120,42.33196,-71.020173,6177545800,0.0,31
24cb4eab-6166-3530-bddc-a5a8a14a4fc1,MILFORD REGIONAL MEDICAL CENTER,14 PROSPECT STREET,MILFORD,MA,01757,42.158692,-71.521419,5084731190,0.0,198
db0acede-4abe-3c01-8d03-5c68a190d8c7,SOUTH SHORE HOSPITAL,55 FOGG ROAD,SOUTH WEYMOUTH,MA,02190,42.24158900000001,-71.082651,7813408000,0.0,382
3d10019f-c88e-3de5-9916-6107b9c0263d,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,02462,42.331876,-71.208402,6172436000,0.0,90
12c9daf5-a29c-36c9-ac55-28972463e566,BETH ISRAEL DEACONESS HOSPITAL-MILTON INC,199 REEDSDALE ROAD,MILTON,MA,02186,42.24158900000001,-71.082651,6176964600,0.0,335
27379046-608b-32f0-9df7-8c833cf5d11d,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,02115,42.33196,-71.020173,6177325500,0.0,234
226098a2-6a40-3588-b5bb-db56c3a30a04,GOOD SAMARITAN MEDICAL CENTER,235 NORTH PEARL STREET,BROCKTON,MA,02301,42.082543,-71.024638,5084273000,0.0,652
b7175ab4-bde5-3848-891b-579bccb77c7c,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,02111,42.33196,-71.020173,6176365000,0.0,305
d733d4a9-080d-3593-b910-2366e652b7ea,BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,02130,42.33196,-71.020173,6179837000,0.0,62
3bd5eda0-16da-3ba5-8500-4dfd6ae118b8,NORWOOD HOSPITAL,800 WASHINGTON STREET,NORWOOD,MA,02062,42.18736,-71.195955,5087721000,0.0,392
d5117822-5756-389d-9547-891a372d580f,FALMOUTH HOSPITAL,67 & 100 TER HEUN DRIVE,FALMOUTH,MA,02540,41.57072,-70.556682,5085485300,0.0,276
f99c74cc-7d1a-3f95-9a33-4a9357bf2f2a,UMASS MEMORIAL MEDICAL CENTER INC,55 LAKE AVENUE NORTH,WORCESTER,MA,01655,42.269478,-71.807783,5083341000,0.0,318
6f122869-a856-3d65-8db9-099bf4f5bbb8,LAHEY HOSPITAL & MEDICAL CENTER  BURLINGTON,41 & 45 MALL ROAD,BURLINGTON,MA,01803,42.503227,-71.201713,7817445100,0.0,182
465de31f-3098-365c-af70-48a071e1f5aa,METROWEST MEDICAL CENTER,115 LINCOLN STREET,FRAMINGHAM,MA,01701,42.307905,-71.436196,5083831000,0.0,79
1eaf97fa-9de6-38de-a9c4-6efe5dc574be,ST VINCENT HOSPITAL,123 SUMMER STREET,WORCESTER,MA,01608,42.269478,-71.807783,5083635000,0.0,47
161a799c-4894-36f6-8ca7-2a71c8107f79,ATHOL MEMORIAL HOSPITAL,2033 MAIN STREET,ATHOL,MA,01331,42.593384,-72.230228,9782493511,0.0,156
956ccb85-bea0-30f9-af48-52f5dd95ff72,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,30 WARREN STREET,BRIGHTON,MA,02135,42.33196,-71.020173,6172543800,0.0,205
d7b11827-25f2-350b-bcd8-939fc59851b0,BOSTON CHILDREN'S HOSPITAL,300 LONGWOOD AVENUE,BOSTON,MA,02115,42.33196,-71.020173,6177356000,0.0,120
5103c940-0c08-392f-95cd-446e0cea042a,SHRINERS' HOSPITAL FOR CHILDREN (THE),516 CAREW STREET,SPRINGFIELD,MA,01104,42.115454,-72.539978,4137872000,0.0,494
ff9863d3-3fa3-3861-900e-f00148f5d9c2,SHRINERS' HOSPITAL FOR CHILDREN - BOSTON  THE,51 BLOSSOM STREET,BOSTON,MA,02114,42.33196,-71.020173,6177223000,0.0,125
72a10c1a-ee7c-3a01-97b1-33f63244c13e,Edith Nourse Rogers Memorial Veterans Hospital (Bedford VA),200 Springs Rd.,Bedford,MA,01730,42.503376,-71.272644,781-687-2000,0.0,245
05462bf2-25d4-3ecd-afdf-bb3e1140929a,Causeway OPC,251 Causeway St.,Boston,MA,02114,42.3665,-71.05931,800-865-3384,0.0,260
c1c0c43e-ca87-3ee5-9549-be3f28afde81,Greenfield Outpatient Clinic,143 Munson Street,Greenfield,MA,01301,42.580627,-72.623634,413-773-8428 Or 413-773-8428,0.0,43
cb72194a-b1fd-3089-afb6-cb8bb61f4f9c,Plymouth Outreach Clinic,116 Long Pond Road,Plymouth,MA,02360,41.924313,-70.656654,800-865-3384,0.0,126
18f774ab-db01-37ba-95c4-44c4eab47089,Quincy Outpatient Clinic,110 West Squantum Street,Quincy,MA,02169,42.272617,-71.03133,800-865-3384,0.0,45
37eb7694-de8f-3407-b95f-1a6a31fb0f6a,Springfield Outpatient Clinic,25 Bond Street,Springfield,MA,01104,42.110065,-72.60007,413-731-6000 Or 413-731-6000,0.0,184
d311e70d-86e7-3c03-b115-53892bcf7ef1,Worcester Outpatient Clinic,605 Lincoln Street,Worcester,MA,01605,42.297756,-71.766815,508-856-0104 Or 508-856-0104,0.0,547
3a2242e0-de37-303b-bdfc-e160c7eae518,Worcester Vet Center,255 Park Ave Suite # 900,Worcester,MA,01609,42.265556,-71.818665,508-753-7902,0.0,109
73261f58-9c5a-3dae-833a-92148d5b7072,PCP876,202 BURLINGTON RD,BEDFORD,MA,01730-1407,42.499295000000004,-71.281889,781-271-8811,0.0,89
13565c20-feac-36cb-ab5c-cef3e6a7dd8f,PCP2306,115 MILL ST,BELMONT,MA,02478-1041,42.395317,-71.180284,617-855-2683,0.0,84
20407251-085a-3849-aec4-9ae82cc81ac5,PCP2638,32 ANDREW RD,SWAMPSCOTT,MA,01907-1929,42.468059000000004,-70.89126,781-599-7781,0.0,68
b9c8d3c5-c419-3eb0-9122-0dea8e5664a3,PCP4083,BARRE OPTICAL,BARRE,MA,01005,42.418848,-72.10659799999999,978-355-2191,0.0,60
973e7384-d05b-32ad-a8cc-c39191ee9150,PCP7483,152 N ST,PITTSFILED,MA,01201,42.452045,-73.26054,413-443-8480,0.0,97
32836213-4ac7-3021-aad8-6383f3ced351,PCP9022,1 HOLLYWOOD DR,GRAFTON,MA,01536-1614,42.209151,-71.683644,508-839-3616,0.0,28
43e903b1-abff-3a6f-afe8-64372c66dcdb,PCP9109,1330 BEACON ST,BROOKLINE,MA,02446-3203,42.323853,-71.142003,617-571-4831,0.0,48
70c2b603-7765-3546-922c-132e95e7e70b,PCP9507,53 A S MAIN ST,SOUTH DEERFIELD,MA,01373-1027,42.481395,-72.589793,413-658-7169,0.0,70
a2f4cbd8-c8b2-3ab9-9161-d288837a2139,PCP10056,27 GLEN ST,STOUGHTON,MA,02072-2481,42.119006,-71.10365,781-784-5778,0.0,49
df98ec89-56ee-380f-9f1d-671ef1039720,THE EYE CARE CENTER  INC.,10 TECHNOLOGY DR,HUDSON,MA,01749-2791,42.389071,-71.545864,978-568-8228,0.0,49
036c2612-ef37-3468-9424-255570c84216,PCP11124,88 WHARF ST,MILTON,MA,02186-3433,42.241557,-71.082432,617-298-1608,0.0,64
2e5db71a-a3b2-32ea-9c0f-2b698f1d756a,PCP12679,435 NEWBURY ST,DANVERS,MA,01923-1065,42.574174,-70.95051600000001,978-777-7188,0.0,14
0e395cae-a0c5-3794-9a77-19654a835c12,PCP14251,218 BOSTON ST,TOPSFIELD,MA,01983-2200,42.641379,-70.94344,978-887-01011,0.0,53
dfc444d9-2f40-3d7a-b755-27771b64e2c4,PCP15618,116 PLEASANT ST,EASTHAMPTON,MA,01027-2756,42.265435,-72.670813,413-695-6633,0.0,61
1aff39b8-795f-3b7f-ba33-72648f3fa068,PCP16544,6 HASCALL ST,SHREWSBURY,MA,01545-2904,42.284766999999995,-71.714228,508-845-2778,0.0,110
9cc30835-37b7-309e-9503-f0cea4add0f2,PCP16675,4 S SPOONER ST,PLYMOUTH,MA,02360-4447,41.897892,-70.62403,508-747-0576,0.0,28
efe0e364-b8bb-346e-9a4f-57033b6524ba,PCP17289,1200 CONVERSE ST,LONGMEADOW,MA,01106-2074,42.047565000000006,-72.57113000000001,413-565-2840,0.0,100
707bfbf6-85d4-375f-b12a-43ff210ec187,PCP18175,432 GREENFIELD RD,MONTAGUE,MA,01351-8925,42.556616999999996,-72.517075,413-772-0612,0.0,99
9ad6e1c5-f73c-3b69-9fb5-a90e294388c7,PCP18978,1415 BEACON ST,BROOKLINE,MA,02446-4812,42.323853,-71.142003,617-651-0260,0.0,54
86f868e9-3325-3019-98d9-34ca2dc11f20,TANZMAN MASELLI AND ASSOCIATES PC,151 ASHLAND ST,N ADAMS,MA,01247-4522,42.675549,-73.11810799999998,413-662-2020,0.0,69
78a11f16-e161-3dfa-91fa-16af7109cea0,PCP23885,37 EDGERTON DR,NO FALMOUTH,MA,02556-2821,41.601508,-70.639317,508-563-3003,0.0,51
74b665dd-685a-36ff-8b64-cdaf28b37eab,PCP24938,14 PLEASANT ST,CAMBRIDGE,MA,02139-3212,42.376043,-71.11868,617-386-6552,0.0,47
73b36bb4-468a-3ea8-9cfc-ee11ee3d01d6,PCP25715,271 MAIN ST,STONEHAM,MA,02180-3580,42.474208000000004,-71.097665,617-868-0853,0.0,48
b4e47667-fc67-3ee7-950f-ead5e60cb397,PCP26037,48 IRVING ST,CAMBRIDGE,MA,02138-3007,42.376043,-71.11868,617-876-3234,0.0,65
04cbfe78-0d3f-3277-9476-2be9f8dc5191,PCP26077,26 HIGH ST,MILTON,MA,02186-3417,42.241557,-71.082432,617-698-6003,0.0,60
3e4baf39-79d2-3c5f-9419-293af2720a97,PCP26086,149 BELGRADE AVE,ROSLINDALE,MA,02131-2416,42.33196,-71.020173,617-327-4698,0.0,68
43df7bea-4fa3-304b-a1a5-c309a2967b1b,PCP26422,278 CENTRE ST,QUINCY,MA,02169-7522,42.261006,-71.008988,617-773-3200,0.0,28
1061b2b7-0167-35bc-916a-3b3207fe2bfc,PCP27026,82 MAIN ST,WAKEFIELD,MA,01880-1022,42.50436,-71.064061,781-621-8686,0.0,42
7d850377-1797-3452-a662-a9fdd680b13c,LORI LIEBERMAN AND ASSOCIATES LLC,6 WASHINGTON PL,SHARON,MA,02067-1904,42.108463,-71.185182,781-335-7559,0.0,91
717bd95a-c706-3226-ba67-c66eac8e3ae5,PCP27936,115 MILL ST,BELMONT,MA,02478-1064,42.395317,-71.180284,617-855-3348,0.0,72
52aaa98d-e9d4-32ed-a854-d2e221d29947,PCP28131,30 DOMINO DR,CONCORD,MA,01742-2802,42.462911,-71.364496,978-263-1611,0.0,72
f09fba12-a185-3d6e-8fa7-eeb7e037ed0c,PCP28483,175 DERBY,HINGHAM,MA,02043-4007,42.224319,-70.880673,781-588-0850,0.0,82
32634eb3-c12a-3303-8799-cc7dbd8e910c,PCP28523,1696 MASSACHUSETTS AVE,CAMBRIDGE,MA,02138-1803,42.376043,-71.11868,617-851-4185,0.0,45
f2e2f8e9-32ca-3f82-b950-03008f887e4b,PCP28589,1371 BEACON ST,BROOKLINE,MA,02446-4905,42.323853,-71.142003,617-232-2435,0.0,89
000ea339-3b3e-35be-b475-bd129c194e56,PCP32703,25 OLD WESTPORT RD,DARTMOUTH,MA,02747-2513,41.56651,-70.958229,508-990-9922,0.0,59
809b8287-b750-3105-8c9f-b06a3804fc4b,PCP32881,324 GROVE ST,WORCESTER,MA,01605-3936,42.269478,-71.807783,508-471-7165,0.0,28
0a34d743-8604-3f11-9419-ab4680b093ad,PCP35079,198 RUSSELL ST,WORCESTER,MA,01609-2200,42.269478,-71.807783,508-753-5554,0.0,100
cb75be4d-7394-3ebd-9930-4d4d3b27d82e,PCP37904,22 WOBURN ST,READING,MA,01867-3074,42.535183,-71.105423,781-944-1600,0.0,80
fccdb0ed-7461-32ab-97da-5bf9f3770844,MADDEN CHIROPRACTIC LLC,5 CHESHIRE RD,PITTSFIELD,MA,01201-1832,42.451840000000004,-73.260685,413-442-0913,0.0,73
b76d86f7-5e55-3d50-b910-2491c1a39d6a,PCP41983,56 DRIFTWAY DR,SCITUATE,MA,02066-4533,42.205062,-70.74297800000001,781-545-6565,0.0,74
db6e0cea-70b9-3cab-b8fe-1bd1b4b649c3,PCP42340,69 MALDEN ST,REVERE,MA,02151-2234,42.421005,-70.99036,781-284-3200,0.0,185
58f5b392-6bfd-3c4a-bfd6-061e7cf396b2,PCP44672,6 WESTRIDGE RD,HUDSON,MA,01749-2863,42.389071,-71.545864,978-568-0025,0.0,72
c9c9bbf0-c1c0-30fe-94d3-a908a24ebb48,PCP46837,61 MAIN ST,BLACKSTONE,MA,01504-2215,42.039991,-71.53240600000001,508-752-4709,0.0,35
8979fc79-bab8-34ba-b7a5-016443c958c5,OLIVIER GROUP PC,92 FAUNCE CORNER RD,DARTMOUTH,MA,02747-1262,41.56651,-70.958229,508-993-3000,0.0,51
7aee1c1b-17ab-3ea8-b413-bd01bf2baeab,PCP48360,57 WINGATE ST,HAVERHILL,MA,01832-5759,42.782945,-71.087436,978-374-0055,0.0,75
45fd49b8-43c9-32c8-a5cb-774703b4edc5,MARTONE CHIROPRACTIC AND WELLNESS CENTER PC,1 TEAL RD,WAKEFIELD,MA,01880-1223,42.50436,-71.064061,781-224-0202,0.0,70
ec000aef-606c-3d72-b54d-22248b3069f9,MIDDLETON FAMILY MEDICINE URGENT CARE  LLC,147 S MAIN ST,MIDDLETON,MA,01949-2446,42.610513,-71.007118,978-774-2555,0.0,91
440c17c1-807a-3ebc-85f8-8585e22c374a,NEW DIMENSIONS IN HEALTH INC,1 SEAPORT LN,BOSTON,MA,02210-2013,42.338551,-71.018253,617-385-4543,0.0,28
